Year,Race,Pos,No,Driver,Car,Laps,Time/Retired,PTS,Country,Circuit,Type,Direction,Location,Last length used,Turns,Grands Prix,Grands Prix held
2000,47,NC,14,Jean Alesi ALE,Prost Peugeot,27.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,1,Mika Hakkinen HAK,McLaren Mercedes,18.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,1,Mika Hakkinen HAK,McLaren Mercedes,18.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,19,Jos Verstappen VER,Arrows Supertec,16.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,19,Jos Verstappen VER,Arrows Supertec,16.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,2,David Coulthard COU,McLaren Mercedes,11.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,2,David Coulthard COU,McLaren Mercedes,11.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,18,Pedro de la Rosa DLR,Arrows Supertec,6.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,18,Pedro de la Rosa DLR,Arrows Supertec,6.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,7,Eddie Irvine IRV,Jaguar Cosworth,6.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,7,Eddie Irvine IRV,Jaguar Cosworth,6.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,8,Johnny Herbert HER,Jaguar Cosworth,1.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,8,Johnny Herbert HER,Jaguar Cosworth,1.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,48,1,3,Michael Schumacher MSC,Ferrari,71.0,1:31:35.271,10.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,1,3,Michael Schumacher MSC,Ferrari,71.0,1:31:35.271,10.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
2000,48,2,11,Giancarlo Fisichella FIS,Benetton Playlife,71.0,+39.898s,6.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,5.031 km (3.126 mi),11,Brazilian Grand Prix,10
2000,48,2,11,Giancarlo Fisichella FIS,Benetton Playlife,71.0,+39.898s,6.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,4.309 km (2.677 mi),15,"Brazilian Grand Prix,São Paulo Grand Prix",40
