Year,Race,Pos,No,Driver,Car,Laps,PTS,Country,Circuit,Type,Direction,Location,Turns,Grands Prix,Grands Prix held,Last length used (m),Time_in_Seconds,TOTALAVGSpeed (m/s),Average Speed per Lap (m/s),Average Time per Lap (sec),Total Distance of Lap (meters)
2000,54,7,2,David Coulthard COU,McLaren Mercedes,69.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6134.529,47.971898087041396,0.6952448998121942,88.90621739130435,294285.0
2000,54,7,2,David Coulthard COU,McLaren Mercedes,69.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6134.529,44.507573442068654,0.6450372962618646,88.90621739130435,273033.0
2000,54,8,23,Ricardo Zonta ZON,BAR Honda,69.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6142.768,48.9858969116203,0.7099405349510188,89.0256231884058,300909.0
2000,54,8,23,Ricardo Zonta ZON,BAR Honda,69.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6142.768,47.907555681738266,0.6943124011846126,89.0256231884058,294285.0
2000,54,8,23,Ricardo Zonta ZON,BAR Honda,69.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6142.768,44.447877569200074,0.6441721386840591,89.0256231884058,273033.0
2000,54,9,12,Alexander Wurz WUR,Benetton Playlife,69.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6152.212,48.910700736580594,0.7088507353127622,89.1624927536232,300909.0
2000,54,9,12,Alexander Wurz WUR,Benetton Playlife,69.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6152.212,47.83401482263615,0.693246591632408,89.1624927536232,294285.0
2000,54,9,12,Alexander Wurz WUR,Benetton Playlife,69.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6152.212,44.379647515397714,0.6431832973246046,89.1624927536232,273033.0
2000,54,10,16,Pedro Diniz DIN,Sauber Petronas,69.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6186.857,48.63681187394504,0.7048813315064499,89.66459420289856,300909.0
2000,54,10,16,Pedro Diniz DIN,Sauber Petronas,69.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6186.857,47.5661551576188,0.6893645675017218,89.66459420289856,294285.0
2000,54,10,16,Pedro Diniz DIN,Sauber Petronas,69.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6186.857,44.131131526072124,0.6395816163198859,89.66459420289856,273033.0
2000,54,11,10,Jenson Button BUT,Williams BMW,68.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6160.317536231884,48.138427646927944,0.7079180536312933,90.59290494458654,296548.0
2000,54,11,10,Jenson Button BUT,Williams BMW,68.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6160.317536231884,47.078742011957736,0.6923344413523197,90.59290494458654,290020.0
2000,54,11,10,Jenson Button BUT,Williams BMW,68.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6160.317536231884,43.678917266428314,0.6423370186239458,90.59290494458654,269076.0
2000,54,12,21,Gaston Mazzacane MAZ,Minardi Fondmetal,68.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6160.317536231884,48.138427646927944,0.7079180536312933,90.59290494458654,296548.0
2000,54,12,21,Gaston Mazzacane MAZ,Minardi Fondmetal,68.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6160.317536231884,47.078742011957736,0.6923344413523197,90.59290494458654,290020.0
2000,54,12,21,Gaston Mazzacane MAZ,Minardi Fondmetal,68.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6160.317536231884,43.678917266428314,0.6423370186239458,90.59290494458654,269076.0
2000,54,13,7,Eddie Irvine IRV,Jaguar Cosworth,66.0,0.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,6336.326608695652,45.42474177467466,0.6882536632526464,96.00494861660079,287826.0
2000,54,13,7,Eddie Irvine IRV,Jaguar Cosworth,66.0,0.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,6336.326608695652,44.424793320107185,0.6731029290925331,96.00494861660079,281490.0
2000,54,13,7,Eddie Irvine IRV,Jaguar Cosworth,66.0,0.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,6336.326608695652,41.216625361703194,0.6244943236621696,96.00494861660079,261162.0
2000,55,1,2,David Coulthard COU,McLaren Mercedes,72.0,10.0,France,Bugatti Au Mans,Race circuit,Clockwise,Le Mans,8,French Grand Prix,1,4430.0,5885.538,54.193856194624864,0.7526924471475676,81.74358333333333,318960.0
2000,55,1,2,David Coulthard COU,McLaren Mercedes,72.0,10.0,France,Charade Circuit,Road circuit,Clockwise,Saint-Genès-Champanelle,38,French Grand Prix,4,8055.0,5885.538,98.53984461573437,1.3686089529963106,81.74358333333333,579960.0
2000,55,1,2,David Coulthard COU,McLaren Mercedes,72.0,10.0,France,Circuit de Nevers Magny-Cours,Race circuit,Clockwise,Magny-Cours,16,French Grand Prix,18,4411.0,5885.538,53.96142204841767,0.7494641951169121,81.74358333333333,317592.0
2000,55,1,2,David Coulthard COU,McLaren Mercedes,72.0,10.0,France,Circuit de Reims-Gueux,Road circuit,Clockwise,Gueux,6,French Grand Prix,11,8302.0,5885.538,101.5614885164279,1.4105762293948318,81.74358333333333,597744.0
