Year,Race,Pos,No,Driver,Car,Laps,PTS,Country,Circuit,Type,Direction,Location,Turns,Grands Prix,Grands Prix held,Last length used (m),Time_in_Seconds,TOTALAVGSpeed (m/s),Average Speed per Lap (m/s),Average Time per Lap (sec),Total Distance of Lap (meters)
2002,722,7,16,Eddie Irvine IRV,Jaguar Cosworth,70.0,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5581.17938028169,63.09956659773682,0.9014223799676688,79.73113400402414,352170.0
2002,722,7,16,Eddie Irvine IRV,Jaguar Cosworth,70.0,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5581.17938028169,54.04413287013475,0.772059041001925,79.73113400402414,301630.0
2002,722,8,17,Pedro de la Rosa DLR,Jaguar Cosworth,70.0,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5581.17938028169,63.09956659773682,0.9014223799676688,79.73113400402414,352170.0
2002,722,8,17,Pedro de la Rosa DLR,Jaguar Cosworth,70.0,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5581.17938028169,54.04413287013475,0.772059041001925,79.73113400402414,301630.0
2002,722,9,10,Takuma Sato SAT,Jordan Honda,69.0,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5658.69576056338,61.346114844923,0.8890741281872898,82.0100834864258,347139.0
2002,722,9,10,Takuma Sato SAT,Jordan Honda,69.0,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5658.69576056338,52.54231939311732,0.7614828897553234,82.0100834864258,297321.0
2002,722,11,23,Mark Webber WEB,Minardi Asiatech,68.0,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5736.21214084507,59.640053680023065,0.8770596129415157,84.35606089478044,342108.0
2002,722,11,23,Mark Webber WEB,Minardi Asiatech,68.0,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5736.21214084507,51.08109546953277,0.7511925804343055,84.35606089478044,293012.0
2002,722,13,22,Alex Yoong YOO,Minardi Asiatech,67.0,0.0,Brazil,Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,11,Brazilian Grand Prix,10,5031.0,5813.72852112676,57.979487479520465,0.8653654847689621,86.77206747950387,337077.0
2002,722,13,22,Alex Yoong YOO,Minardi Asiatech,67.0,0.0,Brazil,Autodromo José Carlos Pace *,Race circuit,Anti-clockwise,São Paulo,15,"Brazilian Grand Prix,São Paulo Grand Prix",40,4309.0,5813.72852112676,49.658837517243825,0.7411766793618482,86.77206747950387,288703.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5429.981,55.74697222697465,0.8576457265688407,83.53816923076923,302705.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5429.981,75.60615773793684,1.1631716575067206,83.53816923076923,410540.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5429.981,53.00571033305641,0.8154724666624064,83.53816923076923,287820.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5429.981,39.670488718100486,0.6103152110476998,83.53816923076923,215410.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5429.981,45.38045344910047,0.6981608222938535,83.53816923076923,246415.0
2002,724,1,1,Michael Schumacher MSC,Ferrari,65.0,10.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5429.981,64.86855110542744,0.9979777093142683,83.53816923076923,352235.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5465.611,55.38356095960726,0.8520547839939578,84.08632307692308,302705.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5465.611,75.11328559606602,1.1555890091702465,84.08632307692308,410540.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5465.611,52.66016919242881,0.8101564491142894,84.08632307692308,287820.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5465.611,39.41187911104541,0.6063366017083909,84.08632307692308,215410.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5465.611,45.08462091429485,0.6936095525276131,84.08632307692308,246415.0
2002,724,2,6,Juan Pablo Montoya MOY,Williams BMW,65.0,6.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5465.611,64.44567679624474,0.9914719507114576,84.08632307692308,352235.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5472.603999999999,55.31279076651627,0.850966011792558,84.19390769230768,302705.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5472.603999999999,75.01730437649061,1.1541123750229325,84.19390769230768,410540.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5472.603999999999,52.59287900239082,0.8091212154213973,84.19390769230768,287820.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5472.603999999999,39.3615178441561,0.6055618129870168,84.19390769230768,215410.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5472.603999999999,45.027010907421776,0.6927232447295658,84.19390769230768,246415.0
2002,724,3,3,David Coulthard COU,McLaren Mercedes,65.0,4.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5472.603999999999,64.36332685500359,0.9902050285385168,84.19390769230768,352235.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5496.678,55.070535330612415,0.8472390050863449,84.56427692307692,302705.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5496.678,74.68874836765043,1.149057667194622,84.56427692307692,410540.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5496.678,52.36253606269096,0.8055774778875532,84.56427692307692,287820.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5496.678,39.189124776819746,0.6029096119510731,84.56427692307692,215410.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5496.678,44.82980447462995,0.6896892996096916,84.56427692307692,246415.0
2002,724,4,7,Nick Heidfeld HEI,Sauber Petronas,65.0,3.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5496.678,64.08143245793187,0.9858681916604902,84.56427692307692,352235.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5508.954,54.94781768008954,0.8453510412321468,84.75313846153846,302705.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5508.954,74.52231403638513,1.1464971390213097,84.75313846153846,410540.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5508.954,52.24585284248153,0.8037823514227929,84.75313846153846,287820.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5508.954,39.10179682023121,0.601566104926634,84.75313846153846,215410.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5508.954,44.72990698415707,0.688152415140878,84.75313846153846,246415.0
2002,724,5,8,Felipe Massa MAS,Sauber Petronas,65.0,2.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5508.954,63.93863517466293,0.9836713103794297,84.75313846153846,352235.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5510.411,54.933289005121395,0.8451275231557138,84.77555384615384,302705.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5510.411,74.5026096964455,1.1461939953299307,84.77555384615384,410540.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5510.411,52.23203859022494,0.803569824464999,84.77555384615384,287820.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5510.411,39.09145796928759,0.6014070456813475,84.77555384615384,215410.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5510.411,44.71808001254353,0.6879704617314389,84.77555384615384,246415.0
2002,724,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,65.0,1.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5510.411,63.921729250322706,0.9834112192357339,84.77555384615384,352235.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5513.519169230769,54.057670038278445,0.8446510943481007,86.14873701923077,298048.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5513.519169230769,73.31506204890844,1.1455478445141944,86.14873701923077,404224.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5513.519169230769,51.39947668660016,0.8031168232281275,86.14873701923077,283392.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5513.519169230769,38.46835269633987,0.6010680108803105,86.14873701923077,212096.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5513.519169230769,44.00528819306712,0.6875826280166738,86.14873701923077,242624.0
2002,724,7,11,Jacques Villeneuve VIL,BAR Honda,64.0,0.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5513.519169230769,62.902837435566006,0.9828568349307188,86.14873701923077,346816.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5513.519169230769,54.057670038278445,0.8446510943481007,86.14873701923077,298048.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5513.519169230769,73.31506204890844,1.1455478445141944,86.14873701923077,404224.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5513.519169230769,51.39947668660016,0.8031168232281275,86.14873701923077,283392.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5513.519169230769,38.46835269633987,0.6010680108803105,86.14873701923077,212096.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5513.519169230769,44.00528819306712,0.6875826280166738,86.14873701923077,242624.0
2002,724,8,25,Allan McNish MCN,Toyota,64.0,0.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5513.519169230769,62.902837435566006,0.9828568349307188,86.14873701923077,346816.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Circuit de Barcelona-Catalunya *,Race circuit,Clockwise,Montmeló,14,Spanish Grand Prix,34,4657.0,5513.519169230769,54.057670038278445,0.8446510943481007,86.14873701923077,298048.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,6,Spanish Grand Prix,2,6316.0,5513.519169230769,73.31506204890844,1.1455478445141944,86.14873701923077,404224.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,13,"Spanish Grand Prix,European Grand Prix",7,4428.0,5513.519169230769,51.39947668660016,0.8031168232281275,86.14873701923077,283392.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,12,Spanish Grand Prix,9,3314.0,5513.519169230769,38.46835269633987,0.6010680108803105,86.14873701923077,212096.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,18,Spanish Grand Prix,4,3791.0,5513.519169230769,44.00528819306712,0.6875826280166738,86.14873701923077,242624.0
2002,724,9,24,Mika Salo SAL,Toyota,64.0,0.0,Spain,Valencia Street Circuit,Street circuit,Clockwise,Valencia,25,European Grand Prix,5,5419.0,5513.519169230769,62.902837435566006,0.9828568349307188,86.14873701923077,346816.0
2002,725,1,1,Michael Schumacher MSC,Ferrari,71.0,10.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5631.562,54.439247938671365,0.7667499709672023,79.31777464788732,306578.0
2002,725,1,1,Michael Schumacher MSC,Ferrari,71.0,10.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5631.562,40.16754143876956,0.56574002026436,79.31777464788732,226206.0
2002,725,2,2,Rubens Barrichello BAR,Ferrari,71.0,6.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5631.744,54.43748863584709,0.7667251920541843,79.320338028169,306578.0
2002,725,2,2,Rubens Barrichello BAR,Ferrari,71.0,6.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5631.744,40.16624335197054,0.5657217373516978,79.320338028169,226206.0
2002,725,3,6,Juan Pablo Montoya MOY,Williams BMW,71.0,4.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5649.2919999999995,54.26839327830815,0.7643435673001149,79.56749295774647,306578.0
2002,725,3,6,Juan Pablo Montoya MOY,Williams BMW,71.0,4.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5649.2919999999995,40.04147776393927,0.5639644755484404,79.56749295774647,226206.0
2002,725,4,5,Ralf Schumacher RSC,Williams BMW,71.0,3.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5650.01,54.2614968823064,0.764246434962062,79.57760563380282,306578.0
2002,725,4,5,Ralf Schumacher RSC,Williams BMW,71.0,3.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5650.01,40.0363893161251,0.5638928072693676,79.57760563380282,226206.0
2002,725,5,9,Giancarlo Fisichella FIS,Jordan Honda,71.0,2.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5681.527,53.96049336736409,0.7600069488361139,80.02150704225352,306578.0
2002,725,5,9,Giancarlo Fisichella FIS,Jordan Honda,71.0,2.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5681.527,39.814296403062066,0.5607647380712967,80.02150704225352,226206.0
2002,725,6,3,David Coulthard COU,McLaren Mercedes,71.0,1.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5682.2339999999995,53.95377944660498,0.7599123865719012,80.03146478873239,306578.0
2002,725,6,3,David Coulthard COU,McLaren Mercedes,71.0,1.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5682.2339999999995,39.80934259307167,0.560694966099601,80.03146478873239,226206.0
2002,725,7,15,Jenson Button BUT,Renault,71.0,0.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5682.791,53.94849115513838,0.7598379035934982,80.03930985915493,306578.0
2002,725,7,15,Jenson Button BUT,Renault,71.0,0.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5682.791,39.805440671669956,0.5606400094601403,80.03930985915493,226206.0
2002,725,8,24,Mika Salo SAL,Toyota,71.0,0.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5700.987,53.77630224380445,0.7574127076592176,80.29559154929578,306578.0
2002,725,8,24,Mika Salo SAL,Toyota,71.0,0.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5700.987,39.67839253097753,0.5588505990278526,80.29559154929578,226206.0
2002,725,9,25,Allan McNish MCN,Toyota,71.0,0.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5701.28,53.77353857379396,0.7573737827294923,80.29971830985914,306578.0
2002,725,9,25,Allan McNish MCN,Toyota,71.0,0.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5701.28,39.67635338029355,0.5588218785956838,80.29971830985914,226206.0
2002,725,11,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,69.0,0.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5790.1975492957745,51.45627544888116,0.745743122447553,83.91590651153297,297942.0
2002,725,11,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,69.0,0.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5790.1975492957745,37.96658026404246,0.5502402936817749,83.91590651153297,219834.0
2002,725,12,23,Mark Webber WEB,Minardi Asiatech,69.0,0.0,Austria,Red Bull Ring *,Race circuit,Clockwise,Spielberg,10,"Austrian Grand Prix,Styrian Grand Prix",38,4318.0,5790.1975492957745,51.45627544888116,0.745743122447553,83.91590651153297,297942.0
2002,725,12,23,Mark Webber WEB,Minardi Asiatech,69.0,0.0,Austria,Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,4,Austrian Grand Prix,1,3186.0,5790.1975492957745,37.96658026404246,0.5502402936817749,83.91590651153297,219834.0
2002,726,1,3,David Coulthard COU,McLaren Mercedes,78.0,10.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6339.055,41.0606943779475,0.5264191586916346,81.2699358974359,260286.0
2002,726,2,1,Michael Schumacher MSC,Ferrari,78.0,6.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6340.1050000000005,41.05389421784024,0.5263319771517979,81.28339743589744,260286.0
2002,726,3,5,Ralf Schumacher RSC,Williams BMW,78.0,4.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6416.505,40.56507397718852,0.5200650509895964,82.26288461538462,260286.0
2002,726,4,14,Jarno Trulli TRU,Renault,77.0,3.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6420.324935897436,40.02118312787288,0.5197556250373101,83.38084332334333,256949.0
2002,726,5,9,Giancarlo Fisichella FIS,Jordan Honda,77.0,2.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6420.324935897436,40.02118312787288,0.5197556250373101,83.38084332334333,256949.0
2002,726,6,20,Heinz-Harald Frentzen FRE,Arrows Cosworth,77.0,1.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6420.324935897436,40.02118312787288,0.5197556250373101,83.38084332334333,256949.0
2002,726,7,2,Rubens Barrichello BAR,Ferrari,77.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6420.324935897436,40.02118312787288,0.5197556250373101,83.38084332334333,256949.0
2002,726,8,7,Nick Heidfeld HEI,Sauber Petronas,76.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6501.594871794872,39.00765965905013,0.5132586797243438,85.54730094466937,253612.0
2002,726,9,16,Eddie Irvine IRV,Jaguar Cosworth,76.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6501.594871794872,39.00765965905013,0.5132586797243438,85.54730094466937,253612.0
2002,726,10,17,Pedro de la Rosa DLR,Jaguar Cosworth,76.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6501.594871794872,39.00765965905013,0.5132586797243438,85.54730094466937,253612.0
2002,726,11,23,Mark Webber WEB,Minardi Asiatech,76.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6501.594871794872,39.00765965905013,0.5132586797243438,85.54730094466937,253612.0
2002,726,12,21,Enrique Bernoldi BER,Arrows Cosworth,76.0,0.0,Monaco,Circuit de Monaco *,Street circuit,Clockwise,Monte Carlo,19,Monaco Grand Prix,70,3337.0,6501.594871794872,39.00765965905013,0.5132586797243438,85.54730094466937,253612.0
2002,727,1,1,Michael Schumacher MSC,Ferrari,70.0,10.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,5616.111,54.35611938581698,0.7765159912259568,80.23015714285714,305270.0
2002,727,1,1,Michael Schumacher MSC,Ferrari,70.0,10.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,5616.111,53.159561839144565,0.7594223119877795,80.23015714285714,298550.0
2002,727,1,1,Michael Schumacher MSC,Ferrari,70.0,10.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,5616.111,49.320606376903875,0.7045800910986267,80.23015714285714,276990.0
2002,727,2,3,David Coulthard COU,McLaren Mercedes,70.0,6.0,Canada,Circuit Gilles-Villeneuve *,Street circuit,Clockwise,Montreal,13,Canadian Grand Prix,43,4361.0,5617.2429999999995,54.34516541299709,0.7763595058999584,80.24632857142856,305270.0
2002,727,2,3,David Coulthard COU,McLaren Mercedes,70.0,6.0,Canada,Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,15,Canadian Grand Prix,2,4265.0,5617.2429999999995,53.148848999411285,0.7592692714201612,80.24632857142856,298550.0
2002,727,2,3,David Coulthard COU,McLaren Mercedes,70.0,6.0,Canada,Mosport International Raceway,Race circuit,Clockwise,Bowmanville,10,Canadian Grand Prix,8,3957.0,5617.2429999999995,49.31066717249014,0.7044381024641448,80.24632857142856,276990.0
